Customer_Status,Age,Gender,Income_Level,Tenure_Months,Inactive_Months_In_Last_12,Credit_Limit,Total_Trans_Amount,Total_Trans_Count,Avg_Utilization_Ratio
Existing Customer,42,M,$60K - $80K,31,3,2934.0,2484,55,0.86
Existing Customer,46,F,Less than $40K,33,3,1896.0,4588,75,0.92
Existing Customer,36,M,$120K +,23,3,20230.0,4314,82,0.04
Attrited Customer,41,M,$80K - $120K,31,3,19782.0,2535,44,0.04
Existing Customer,51,M,$120K +,40,3,8706.0,3203,54,0.1
Existing Customer,54,M,$80K - $120K,46,3,15554.0,2836,61,0.16
Existing Customer,46,M,$120K +,32,2,11840.0,1560,49,0.11
Existing Customer,51,F,Unknown,45,2,6519.0,4505,71,0.33
Existing Customer,62,M,$40K - $60K,50,2,7348.0,3066,61,0.2
Existing Customer,47,M,$60K - $80K,36,1,9300.0,3651,67,0.08
Existing Customer,37,M,$80K - $120K,24,3,11309.0,4809,71,0.0
Existing Customer,53,F,$40K - $60K,36,1,15248.0,4758,83,0.08
Existing Customer,56,F,Less than $40K,45,1,3132.0,4412,73,0.71
Existing Customer,43,F,Less than $40K,33,2,3933.0,1489,45,0.22
Existing Customer,45,F,$40K - $60K,31,2,4701.0,4136,77,0.25
Attrited Customer,45,F,Less than $40K,39,2,3411.0,2108,55,0.43
Existing Customer,50,F,Unknown,41,2,4846.0,3724,61,0.51
Existing Customer,30,F,Less than $40K,36,2,1621.0,5247,84,0.64
Existing Customer,54,F,$40K - $60K,49,3,5335.0,1435,29,0.26
Existing Customer,56,F,$40K - $60K,40,2,5366.0,1748,38,0.24
Existing Customer,57,F,Less than $40K,46,1,5184.0,1834,55,0.36
Attrited Customer,43,M,$40K - $60K,31,3,23981.0,4758,65,0.02
Attrited Customer,49,M,$40K - $60K,45,2,1438.3,815,21,0.0
Attrited Customer,36,F,Less than $40K,29,2,1493.0,2516,63,0.0
Existing Customer,40,M,$120K +,21,4,20056.0,1687,46,0.08
Attrited Customer,43,F,Less than $40K,24,3,2962.0,929,31,0.85
Existing Customer,49,F,Unknown,36,3,5039.0,4770,74,0.49
Existing Customer,44,F,Less than $40K,36,2,1687.0,4247,87,0.76
Existing Customer,47,F,Less than $40K,41,3,1438.3,1501,40,0.0
Existing Customer,40,M,$120K +,36,2,17606.0,8104,83,0.08
Existing Customer,49,F,Less than $40K,40,2,2096.0,4926,82,0.61
Existing Customer,33,F,Less than $40K,25,3,6193.0,2456,69,0.11
Existing Customer,65,F,Unknown,36,3,8138.0,1299,29,0.26
Existing Customer,45,F,Less than $40K,33,3,9977.0,3530,61,0.21
Existing Customer,35,F,Less than $40K,29,3,2118.0,4541,60,0.56
Existing Customer,40,F,Unknown,26,3,3369.0,4501,96,0.22
Existing Customer,51,F,Less than $40K,41,1,2941.0,4099,66,0.22
Existing Customer,53,M,$40K - $60K,41,1,2885.0,1170,23,0.5
Existing Customer,46,M,$120K +,36,2,7793.0,1099,39,0.22
Existing Customer,57,F,Less than $40K,36,2,3136.0,1260,34,0.45
Existing Customer,48,F,Less than $40K,40,2,2097.0,4189,83,0.6
Existing Customer,51,M,$120K +,44,2,11954.0,7345,93,0.0
Attrited Customer,61,F,Less than $40K,36,3,1760.0,2285,46,0.0
Existing Customer,45,F,Less than $40K,37,1,2052.0,4289,72,0.0
Existing Customer,34,M,$60K - $80K,23,3,4245.0,1534,34,0.43
Existing Customer,46,F,Unknown,36,3,17023.0,1610,43,0.06
Existing Customer,52,F,Less than $40K,46,3,3231.0,4610,90,0.69
Attrited Customer,53,F,Less than $40K,36,2,1438.3,799,17,0.0
Existing Customer,56,F,Unknown,48,3,3934.0,4837,87,0.64
Existing Customer,48,F,Unknown,40,3,2300.0,4538,71,0.83
Existing Customer,44,F,Less than $40K,32,2,7926.0,7677,87,0.13
Existing Customer,34,M,$80K - $120K,29,1,13395.0,2650,69,0.12
Existing Customer,47,F,Unknown,36,1,8332.0,5108,78,0.0
Existing Customer,38,M,$60K - $80K,33,3,5940.0,1872,34,0.18
Existing Customer,42,M,$80K - $120K,29,3,17506.0,4199,73,0.11
Existing Customer,43,M,$40K - $60K,37,2,10800.0,3966,77,0.14
Attrited Customer,38,F,Less than $40K,20,2,1621.0,1893,41,0.36
Existing Customer,49,F,$40K - $60K,38,2,12836.0,2519,53,0.08
Existing Customer,39,F,Less than $40K,31,3,6798.0,3961,69,0.14
Existing Customer,39,F,Less than $40K,33,4,2001.0,4509,69,0.72
Existing Customer,40,M,Less than $40K,34,1,2577.0,4134,62,0.7
Existing Customer,38,F,Less than $40K,31,3,3222.0,5154,80,0.0
Existing Customer,50,F,Less than $40K,36,3,1438.3,3800,69,0.0
Existing Customer,56,M,$80K - $120K,45,1,5070.0,3651,76,0.0
Existing Customer,37,M,$60K - $80K,21,2,21952.0,4087,70,0.07
Existing Customer,49,F,Unknown,44,3,18206.0,1439,48,0.09
Existing Customer,55,F,$40K - $60K,46,3,5379.0,1778,40,0.18
Existing Customer,26,F,Less than $40K,36,3,2557.0,2266,57,0.78
Existing Customer,41,F,Less than $40K,31,2,2909.0,4230,68,0.41
Attrited Customer,43,F,Less than $40K,33,3,14806.0,4804,57,0.17
Existing Customer,33,M,$40K - $60K,25,2,9371.0,2518,67,0.16
Existing Customer,53,F,Less than $40K,36,1,1438.3,4551,65,0.82
Existing Customer,43,M,$60K - $80K,34,2,13771.0,1510,42,0.18
Existing Customer,58,F,Less than $40K,38,2,3331.0,5379,92,0.68
Existing Customer,41,F,$40K - $60K,29,1,14345.0,4045,72,0.07
Existing Customer,27,F,Less than $40K,36,3,1553.0,1954,43,0.47
Existing Customer,44,M,$40K - $60K,34,3,8997.0,4558,62,0.08
Existing Customer,51,F,Less than $40K,45,3,2918.0,3818,61,0.7
Attrited Customer,32,M,$40K - $60K,22,3,4739.0,886,21,0.0
Existing Customer,44,F,Less than $40K,32,1,6472.0,3592,66,0.33
Existing Customer,42,M,$80K - $120K,37,3,19366.0,3627,66,0.08
Existing Customer,51,F,Less than $40K,39,2,2673.0,4119,75,0.48
Attrited Customer,58,F,$40K - $60K,47,4,2295.0,2140,40,0.0
Attrited Customer,54,F,Less than $40K,44,3,2440.0,2334,51,0.21
Existing Customer,40,F,Less than $40K,34,3,4757.0,4220,71,0.42
Existing Customer,49,F,Unknown,42,3,16424.0,4025,79,0.08
Attrited Customer,39,F,Less than $40K,36,2,2092.0,2015,33,0.0
Existing Customer,26,M,Unknown,19,1,1438.3,2005,47,0.0
Existing Customer,47,F,Less than $40K,42,4,1438.3,4735,87,0.0
Attrited Customer,52,M,$120K +,48,3,20974.0,1246,27,0.0
Existing Customer,49,F,Less than $40K,38,2,15016.0,7685,84,0.13
Existing Customer,44,M,$60K - $80K,29,2,7788.0,1196,30,0.0
Existing Customer,34,M,$60K - $80K,23,1,2033.0,4110,74,0.9
Existing Customer,38,F,Unknown,28,3,5666.0,5015,90,0.25
Existing Customer,50,F,Less than $40K,46,2,2165.0,4194,72,0.64
Existing Customer,53,M,$60K - $80K,36,3,7753.0,991,26,0.27
Existing Customer,53,F,Less than $40K,36,4,3319.0,4560,84,0.28
Existing Customer,39,F,Less than $40K,26,3,2469.0,3837,74,0.74
Attrited Customer,42,M,$60K - $80K,27,2,2476.0,4659,48,0.91
Existing Customer,52,F,Less than $40K,45,1,3705.0,4452,89,0.58
Existing Customer,36,F,Unknown,31,2,15700.0,2229,48,0.08
Existing Customer,36,F,Less than $40K,36,2,1964.0,4240,60,0.0
Existing Customer,41,F,$40K - $60K,30,3,4432.0,4144,79,0.3
Existing Customer,43,M,$60K - $80K,31,3,3764.0,4898,80,0.47
Attrited Customer,52,F,Less than $40K,40,2,2317.0,884,19,0.0
Attrited Customer,31,F,Unknown,22,2,1623.0,2126,45,0.0
Existing Customer,38,F,Unknown,27,2,2425.0,4568,74,0.58
Existing Customer,46,M,$80K - $120K,36,1,1438.3,4461,71,0.0
Existing Customer,54,F,Less than $40K,41,2,4658.0,1351,30,0.13
Attrited Customer,46,F,Less than $40K,39,3,1801.0,2252,42,0.18
Attrited Customer,59,F,$40K - $60K,36,3,4375.0,2507,53,0.0
Existing Customer,54,F,$40K - $60K,41,3,4440.0,3720,89,0.0
Existing Customer,47,M,$80K - $120K,36,3,17655.0,3692,79,0.0
Existing Customer,43,F,Less than $40K,36,1,1855.0,4191,81,0.49
Existing Customer,53,M,$40K - $60K,48,1,2522.0,4697,73,0.68
Attrited Customer,47,F,Less than $40K,36,2,8109.0,1835,43,0.0
Existing Customer,41,M,$60K - $80K,33,2,20749.0,4754,77,0.1
Attrited Customer,44,F,Less than $40K,28,2,1877.0,2581,57,0.64
Existing Customer,47,F,Less than $40K,36,2,1438.3,4220,87,0.51
Existing Customer,41,F,$40K - $60K,36,3,2690.0,3636,68,0.71
Existing Customer,49,M,$40K - $60K,38,1,3051.0,4887,69,0.58
Existing Customer,45,F,Unknown,29,3,2555.0,4888,78,0.27
Existing Customer,49,M,$120K +,36,2,19763.0,1414,35,0.13
Attrited Customer,45,F,Unknown,38,2,3120.0,2468,43,0.81
Attrited Customer,44,F,Less than $40K,28,2,1951.0,2697,45,0.0
Existing Customer,58,M,$80K - $120K,42,3,12421.0,1913,49,0.2
Existing Customer,46,F,Less than $40K,40,2,3556.0,1221,41,0.61
Existing Customer,40,F,$40K - $60K,29,3,2351.0,5115,84,0.57
Existing Customer,39,M,$80K - $120K,31,2,8434.0,1414,27,0.26
Existing Customer,46,F,$40K - $60K,29,2,3126.0,1638,41,0.8
Attrited Customer,38,F,Less than $40K,36,3,2989.0,2143,67,0.8
Existing Customer,46,F,Less than $40K,36,3,2483.0,4421,74,0.82
Existing Customer,41,F,$40K - $60K,36,2,6602.0,4479,82,0.0
Existing Customer,52,F,Less than $40K,40,2,5207.0,7153,84,0.22
Existing Customer,51,F,Unknown,36,3,5062.0,4243,102,0.33
Existing Customer,48,M,$120K +,35,3,10642.0,4183,74,0.16
Existing Customer,51,F,Less than $40K,36,4,1857.0,5149,90,0.56
Existing Customer,51,F,Less than $40K,36,2,9930.0,1276,21,0.0
Existing Customer,45,F,Less than $40K,38,2,3682.0,4015,77,0.0
Attrited Customer,50,M,$60K - $80K,44,4,7050.0,2176,39,0.14
Existing Customer,44,F,Less than $40K,36,1,2107.0,4007,82,0.0
Existing Customer,56,F,Less than $40K,36,2,2641.0,1439,39,0.48
Existing Customer,47,F,Unknown,38,1,1634.0,4397,72,0.9
Existing Customer,49,F,$40K - $60K,29,3,1564.0,5172,78,0.0
Existing Customer,44,M,$60K - $80K,36,1,4141.0,3512,65,0.34
Attrited Customer,46,M,$60K - $80K,34,3,15060.0,1611,42,0.0
Existing Customer,52,F,Less than $40K,35,2,1954.0,4897,70,0.41
Attrited Customer,42,F,Less than $40K,18,3,8668.0,1402,38,0.0
Existing Customer,58,M,$120K +,49,2,9788.0,1805,37,0.18
Existing Customer,44,F,$40K - $60K,25,2,3299.0,4312,84,0.76
Existing Customer,45,F,$40K - $60K,36,3,2293.0,5047,94,0.57
Attrited Customer,51,F,$40K - $60K,36,3,4762.0,2811,52,0.0
Existing Customer,50,M,$60K - $80K,37,3,18085.0,4583,76,0.04
Existing Customer,41,F,Less than $40K,36,3,2687.0,4096,76,0.49
Existing Customer,46,F,Less than $40K,39,2,1438.3,4370,79,0.0
Existing Customer,48,F,Less than $40K,29,3,1843.0,5199,73,0.98
Existing Customer,55,M,$60K - $80K,36,3,1467.0,4226,74,0.0
Existing Customer,45,F,Less than $40K,39,3,2606.0,2191,42,0.76
Existing Customer,45,F,Unknown,40,2,7600.0,4240,67,0.21
Existing Customer,62,F,Unknown,36,2,2870.0,3946,74,0.8
Existing Customer,43,F,$40K - $60K,36,3,4902.0,4508,69,0.51
Existing Customer,42,M,$60K - $80K,34,3,10607.0,1903,40,0.24
Existing Customer,40,M,$80K - $120K,36,2,3919.0,1872,51,0.42
Existing Customer,49,M,$120K +,36,2,8514.0,4098,74,0.24
Existing Customer,44,F,Less than $40K,36,3,8685.0,2473,56,0.0
Existing Customer,46,M,$40K - $60K,36,3,4129.0,1678,40,0.0
Existing Customer,31,M,$40K - $60K,22,1,9096.0,2318,54,0.0
Existing Customer,50,F,Less than $40K,38,3,2775.0,4608,84,0.53
Existing Customer,38,F,Less than $40K,29,3,3590.0,1472,37,0.54
Attrited Customer,39,F,$40K - $60K,31,3,3333.0,3348,50,0.56
Attrited Customer,33,F,Less than $40K,24,2,1806.0,2833,43,0.0
